gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP
bcp,a-sector,EG10108-MONOMER,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1225,no
bcr,rca-sector,multidrug efflux pump Bcr,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2814,no
bcsA,rca-sector,cellulose synthase catalytic subunit,,,,IM,other,Cell motility,N,COG1215,no
bcsB,rca-sector,cellulose synthase periplasmic subunit,,,,IM,other,notdefined,notdefined,,no
bcsC,rca-sector,cellulose biosynthesis protein BcsC,,,,OM,other,General function prediction only,R,COG0457,no
bcsE,a-sector,c-di-GMP-binding protein BcsE,,,,CP,,notdefined,notdefined,,no
bcsF,s-sector,putative cellulose biosynthesis protein BcsF,,,,CP,,notdefined,notdefined,,no
bcsG,s-sector,cellulose phosphoethanolamine transferase,,,,IM,membrane protein,notdefined,notdefined,,no
bcsQ,rca-sector,cellulose biosynthesis protein,,,,CP,,notdefined,notdefined,,no
bcsZ,rca-sector,"endo-1,4-D-glucanase",,,,EC,other,Carbohydrate transport and metabolism,G,COG3405,no
bdcA,a-sector,c-di-GMP-binding biofilm dispersal mediator protein,,,,CP,,notdefined,IQR,COG1028,no
bdcR,rca-sector,putative transcriptional regulator BdcR,,,,CP,,Transcription,K,COG1309,no
bdm,s-sector,biofilm-dependent modulation protein,,,,CP,,notdefined,notdefined,,no
bepA,s-sector,&beta;-barrel assembly-enhancing protease,,,,PE,other,General function prediction only,R,COG4783,no
betA,r-sector,choline dehydrogenase,,,,CP,,notdefined,IR,COG2303,no
betB,r-sector,betaine aldehyde dehydrogenase,,,,CP,,Energy production and conversion,C,COG1012,no
betI,r-sector,DNA-binding transcriptional repressor BetI,,,,CP,,Transcription,K,COG1309,no
betT,rca-sector,BETT-MONOMER,,,,IM,transporter,Cell wall/membrane/envelope biogenesis,M,COG1292,no
bfd,a-sector,bacterioferritin-associated ferredoxin,,,,CP,,Inorganic ion transport and metabolism,P,COG2906,no
bfr,a-sector,bacterioferritin,,,,CP,,Inorganic ion transport and metabolism,P,COG2193,no
bglA,u-sector,6-phospho-&beta;-glucosidase A,,,,CP,,Carbohydrate transport and metabolism,G,COG2723,no
bglB,s-sector,6-phospho-&beta;-glucosidase B,,,,CP,,Carbohydrate transport and metabolism,G,COG2723,no
bglF,ra-sector,&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG1263,no
bglG,rca-sector,transcriptional antiterminator BglG,,,,CP,,Transcription,K,COG3711,yes
bglH,rca-sector,"carbohydrate-specific outer membrane porin, cryptic",,,,OM,transporter,Carbohydrate transport and metabolism,G,COG4580,no
bglJ,s-sector,DNA-binding transcriptional regulator BglJ,,,,CP,,notdefined,TK,COG2197,no
bglX,ra-sector,"&beta;-D-glucoside glucohydrolase, periplasmic",,,,PE,other,Carbohydrate transport and metabolism,G,COG1472,no
bhsA,ra-sector,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,,,,OM,other,notdefined,notdefined,,no
bioA,rca-sector,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,,,,CP,,Coenzyme transport and metabolism,H,COG0161,no
bioB,rca-sector,biotin synthase,,,,CP,,Coenzyme transport and metabolism,H,COG0502,no
bioC,rca-sector,malonyl-acyl carrier protein methyltransferase,,,,CP,,Coenzyme transport and metabolism,H,COG2226,no
bioD,rca-sector,dethiobiotin synthetase,,,,CP,,Coenzyme transport and metabolism,H,COG0132,no
bioF,rca-sector,8-amino-7-oxononanoate synthase,,,,CP,,Coenzyme transport and metabolism,H,COG0156,no
bioH,ra-sector,pimeloyl-acyl carrier protein methyl ester esterase,,,,CP,,notdefined,HR,COG0596,no
bipA,r-sector,"ribosome-dependent GTPase, ribosome assembly factor",,,,CP,,Signal transduction mechanisms,T,COG1217,no
birA,ra-sector,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,,,,CP,,Coenzyme transport and metabolism,H,COG0340,no
bisC,ra-sector,biotin sulfoxide reductase,,,,CP,,Energy production and conversion,C,COG0243,no
blc,s-sector,outer membrane lipoprotein Blc,,,,LPO,lipoprotein,Cell wall/membrane/envelope biogenesis,M,COG3040,no
blr,s-sector,&beta;-lactam resistance protein,,,,IM,membrane protein,notdefined,notdefined,,no
bluF,rca-sector,blue light-responsive regulator of BluR,,,,CP,,Signal transduction mechanisms,T,COG2200,no
bluR,s-sector,DNA-binding transcriptional repressor BluR,,,,CP,,Transcription,K,COG0789,no
bolA,s-sector,DNA-binding transcriptional dual regulator BolA,,,,CP,,Signal transduction mechanisms,T,COG0271,no
borD,r-sector,DLP12 prophage; prophage lipoprotein BorD,,,,LPO,lipoprotein,notdefined,notdefined,,no
brnQ,a-sector,branched chain amino acid transporter BrnQ,,,,IM,transporter,Amino acid transport and metabolism,E,COG1114,no
bsmA,s-sector,DUF1471 domain-containing putative lipoprotein BsmA,,,,LPO,other,notdefined,notdefined,,no
bssR,s-sector,regulator of biofilm formation,,,,CP,,notdefined,notdefined,,no
bssS,a-sector,regulator of biofilm formation,,,,CP,,notdefined,notdefined,,no
btuB,s-sector,cobalamin/cobinamide outer membrane transporter,,,,OM,transporter,Coenzyme transport and metabolism,H,COG4206,no
btuC,rca-sector,vitamin B<sub>12</sub> ABC transporter membrane subunit,,,,IM,transporter,Coenzyme transport and metabolism,H,COG4139,no
btuD,s-sector,vitamin B<sub>12</sub> ABC transporter ATP binding subunit,,,,CP,,Coenzyme transport and metabolism,H,COG4138,no
btuE,s-sector,thioredoxin/glutathione peroxidase,,,,CP,,notdefined,VI,COG0386,no
btuF,ra-sector,vitamin B<sub>12</sub> ABC transporter periplasmic binding protein,,,,PE,transporter,Inorganic ion transport and metabolism,P,COG0614,no
btuR,rca-sector,cobinamide/cobalamin adenosyltransferase,,,,CP,,Coenzyme transport and metabolism,H,COG2109,no
cadA,rca-sector,lysine decarboxylase 1,,,,CP,,Amino acid transport and metabolism,E,COG1982,no
cadB,ra-sector,lysine:cadaverine antiporter,,,,IM,transporter,Amino acid transport and metabolism,E,COG0531,no
cadC,s-sector,DNA-binding transcriptional activator CadC,,,,IM,other,Transcription,K,COG3710,no
caiA,a-sector,CROBETREDUCT-MONOMER,,,,CP,,Lipid transport and metabolism,I,COG1960,no
caiB,ra-sector,&gamma;-butyrobetainyl-CoA:carnitine CoA transferase,,,,CP,,Lipid transport and metabolism,I,COG1804,no
caiC,a-sector,carnitine&mdash;CoA ligase,,,,CP,,notdefined,IQ,COG0318,no
caiD,rca-sector,CARNRACE-MONOMER,,,,CP,,Lipid transport and metabolism,I,COG1024,no
caiE,a-sector,putative transferase CaiE,,,,CP,,General function prediction only,R,COG0663,no
caiF,a-sector,DNA-binding transcriptional activator CaiF,,,,CP,,notdefined,notdefined,,yes
caiT,rca-sector,L-carnitine:&gamma;-butyrobetaine antiporter,,,,IM,transporter,Cell wall/membrane/envelope biogenesis,M,COG1292,yes
can,s-sector,carbonic anhydrase 2,,,,CP,,Inorganic ion transport and metabolism,P,COG0288,no
carA,ra-sector,carbamoyl phosphate synthetase subunit &alpha;,,,,CP,,notdefined,EF,COG0505,no
carB,ra-sector,carbamoyl phosphate synthetase subunit &beta;,,,,CP,,notdefined,EF,COG0458,no
cas1,rca-sector,multifunctional nuclease Cas1,,,,CP,,Defense mechanisms,V,COG1518,no
cas2,rca-sector,CRISPR-associated endoribonuclease Cas2,,,,CP,,notdefined,notdefined,,no
cas3,rca-sector,CRISPR-associated endonuclease/helicase Cas3,,,,CP,,Defense mechanisms,V,COG1203,no
casA,rca-sector,type I-E CRISPR system Cascade subunit CasA,,,,CP,,notdefined,notdefined,,no
casB,rca-sector,type I-E CRISPR system Cascade subunit CasB,,,,CP,,notdefined,notdefined,,no
casC,rca-sector,type I-E CRISPR system Cascade subunit CasC,,,,CP,,notdefined,notdefined,,no
casD,rca-sector,type I-E CRISPR system Cascade subunit CasD,,,,CP,,notdefined,notdefined,,no
casE,rca-sector,pre-CRISPR RNA endonuclease,,,,CP,,notdefined,notdefined,,no
cbeA,rca-sector,CP4-44 prophage; cytoskeleton bundling-enhancing antitoxin CbeA,,,,CP,,notdefined,notdefined,,no
cbl,a-sector,DNA-binding transcriptional activator Cbl,,,,CP,,Transcription,K,COG0583,no
cbpA,a-sector,curved DNA-binding protein,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0484,no
cbpM,a-sector,chaperone modulator CbpM,,,,CP,,notdefined,notdefined,,no
cbrA,ra-sector,colicin M resistance protein,,,,CP,,Energy production and conversion,C,COG0644,no
cbrB,ra-sector,putative inner membrane protein,,,,IM,membrane protein,notdefined,notdefined,,no
cbrC,ra-sector,UPF0167 family colicin E2 tolerance protein CbrC,,,,CP,,Function unknown,S,COG3196,no
cbtA,ra-sector,CP4-44 prophage; cytoskeleton-binding toxin CbtA,,,,CP,,notdefined,notdefined,,no
cca,rca-sector,fused CCA tRNA nucleotidyltransferase/phosphohydrolase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0617,no
ccmA,s-sector,heme trafficking system ATP-binding protein,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG4133,no
ccmB,s-sector,heme trafficking system membrane protein CcmB,,,,IM,transporter,"Posttranslational modification, protein turnover, chaperones",O,COG2386,no
ccmC,rca-sector,heme trafficking system membrane protein CcmC,,,,IM,transporter,"Posttranslational modification, protein turnover, chaperones",O,COG0755,no
ccmD,rca-sector,heme trafficking system membrane protein CcmD,,,,IM,other,"Intracellular trafficking, secretion, and vesicular transport",U,COG3114,no
ccmE,rca-sector,periplasmic heme chaperone,,,,IM,other,notdefined,CO,COG2332,no
ccmF,ra-sector,holocytochrome <I>c</I> synthetase membrane subunit CcmF,,,,IM,other,notdefined,CO,COG1138,no
ccmG,rca-sector,holocytochrome <I>c</I> synthetase - thiol:disulfide oxidoreductase CcmG,,,,IM,other,"Posttranslational modification, protein turnover, chaperones",O,COG0526,no
ccmH,rca-sector,holocytochrome <I>c</I> synthetase - thiol:disulfide oxidoreductase CcmH,,,,IM,other,notdefined,CO,COG3088,no
cdaR,rca-sector,DNA-binding transcriptional activator CdaR,,,,CP,,notdefined,KT,COG3835,no
cdd,a-sector,cytidine/deoxycytidine deaminase,,,,CP,,Nucleotide transport and metabolism,F,COG0295,yes
cdgI,s-sector,putative c-di-GMP binding protein CdgI,,,,IM,other,Signal transduction mechanisms,T,COG2199,no
cdh,r-sector,CDPDIGLYPYPHOSPHA-MONOMER,,,,IM,other,Lipid transport and metabolism,I,COG2134,no
cdsA,rca-sector,CDP-diglyceride synthetase,,,,IM,other,Lipid transport and metabolism,I,COG0575,no
cedA,ra-sector,cell division modulator,,,,CP,,notdefined,notdefined,,no
cfa,a-sector,cyclopropane fatty acyl phospholipid synthase,,,,CP,,Lipid transport and metabolism,I,COG2230,no
chaA,a-sector,Na<sup>+</sup>/K<sup>+</sup>:H<sup>+</sup> antiporter ChaA,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG0387,no
chaB,rca-sector,putative cation transport regulator ChaB,,,,CP,,Inorganic ion transport and metabolism,P,COG4572,no
chaC,rca-sector,glutathione-specific &gamma;-glutamylcyclotransferase,,,,CP,,Inorganic ion transport and metabolism,P,COG3703,no
chbA,s-sector,"<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIA component",,,,CP,,Carbohydrate transport and metabolism,G,COG1447,no
chbB,s-sector,"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component",,,,CP,,Carbohydrate transport and metabolism,G,COG1440,yes
chbC,rca-sector,"<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIC component",,,,IM,transporter,Carbohydrate transport and metabolism,G,COG1455,no
chbF,rca-sector,monoacetylchitobiose-6-phosphate hydrolase,,,,CP,,Carbohydrate transport and metabolism,G,COG1486,no
chbG,rca-sector,chitin disaccharide deacetylase,,,,CP,,Function unknown,S,COG3394,no
chbR,s-sector,DNA-binding transcriptional dual regulator ChbR,,,,CP,,General function prediction only,R,COG1917,no
cheA,c-sector,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",,,,CP,,notdefined,NT,COG0643,no
cheB,c-sector,"CheB-P<SUP>asp</SUP> // ""protein-glutamate methylesterase/protein glutamine deamidase""",,,,CP,,notdefined,NT,COG2201,no
cheR,c-sector,chemotaxis protein methyltransferase,,,,CP,,notdefined,NT,COG1352,no
cheW,c-sector,chemotaxis protein CheW,,,,CP,,notdefined,NT,COG0835,no
cheY,c-sector,"CheY-acetylated // ""CheY-P<SUP>asp</SUP>"" // ""chemotaxis protein CheY""",,,,CP,,notdefined,TK,COG0745,no
cheZ,c-sector,chemotaxis protein CheZ,,,,CP,,notdefined,NT,COG3143,no
chiA,rca-sector,endochitinase,,,,PE,other,Carbohydrate transport and metabolism,G,COG3979,no
chiP,s-sector,chitobiose outer membrane channel,,,,OM,transporter,notdefined,notdefined,,yes
cho,s-sector,endonuclease of nucleotide excision repair,,,,CP,,"Replication, recombination and repair",L,COG0322,no
chpB,rca-sector,endoribonuclease toxin ChpB,,,,CP,,Defense mechanisms,V,COG2337,no
chpS,rca-sector,ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system,,,,CP,,Signal transduction mechanisms,T,COG2336,no
cirA,c-sector,EG10155-MONOMER,,,,OM,transporter,Inorganic ion transport and metabolism,P,COG4771,yes
citC,rca-sector,CITC-MONOMER,,,,CP,,Energy production and conversion,C,COG3053,no
citD,rca-sector,citrate lyase acyl carrier protein,,,,CP,,Energy production and conversion,C,COG3052,no
citE,ra-sector,citrate lyase &beta; subunit,,,,CP,,Carbohydrate transport and metabolism,G,COG2301,no
citF,ra-sector,citrate lyase &alpha; subunit,,,,CP,,Energy production and conversion,C,COG3051,no
citG,rca-sector,G6339-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG1767,no
citT,rca-sector,B0612-MONOMER,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG0471,no
citX,rca-sector,G6340-MONOMER,,,,CP,,notdefined,HI,COG3697,no
clcA,rca-sector,chloride:H<sup>+</sup> antiporter ClcA,,,,IM,other,Inorganic ion transport and metabolism,P,COG0038,no
clcB,rca-sector,putative chloride:H<sup>+</sup> antiporter ClcB,,,,IM,other,Inorganic ion transport and metabolism,P,COG0038,no
clpA,rca-sector,ATP-dependent Clp protease ATP-binding subunit ClpA,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0542,no
clpB,ra-sector,ClpB chaperone,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0542,no
clpP,a-sector,ATP-dependent Clp protease proteolytic subunit,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0740,no
clpS,s-sector,specificity factor for ClpA-ClpP chaperone-protease complex,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG2127,no
clpX,rca-sector,ATP-dependent Clp protease ATP-binding subunit ClpX,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1219,no
clsA,ra-sector,cardiolipin synthase A,,,,IM,other,Lipid transport and metabolism,I,COG1502,no
clsB,s-sector,cardiolipin synthase B,,,,CP,,Lipid transport and metabolism,I,COG1502,no
clsC,s-sector,cardiolipin synthase C,,,,CP,,Lipid transport and metabolism,I,COG1502,no
cmk,ra-sector,cytidylate kinase,,,,CP,,Nucleotide transport and metabolism,F,COG0283,no
cmoA,ra-sector,carboxy-<i>S</i>-adenosyl-L-methionine synthase,,,,CP,,Coenzyme transport and metabolism,H,COG2226,no
cmoB,r-sector,tRNA U34 carboxymethyltransferase,,,,CP,,notdefined,QR,COG0500,no
cmoM,rca-sector,tRNA <b>cmo</b><sup>5</sup>U34 methyltransferase,,,,CP,,Coenzyme transport and metabolism,H,COG2227,no
cmtA,rca-sector,mannitol-specific PTS enzyme IICB component CmtA,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2213,no
cmtB,rca-sector,mannitol-specific PTS enzyme IIA component CmtB,,,,CP,,notdefined,GT,COG1762,yes
cnu,s-sector,H-NS- and StpA-binding protein,,,,CP,,notdefined,notdefined,,no
coaA,s-sector,pantothenate kinase,,,,CP,,Coenzyme transport and metabolism,H,COG1072,no
coaD,u-sector,pantetheine-phosphate adenylyltransferase,,,,CP,,Coenzyme transport and metabolism,H,COG0669,no
coaE,a-sector,EG12312-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG0237,no
cobB,s-sector,protein-lysine deacetylase/desuccinylase,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0846,no
cobC,rca-sector,putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase,,,,CP,,Carbohydrate transport and metabolism,G,COG0406,no
cobS,rca-sector,COBS-MONOMER,,,,IM,other,Coenzyme transport and metabolism,H,COG0368,no
cobT,ra-sector,nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase,,,,CP,,Coenzyme transport and metabolism,H,COG2038,no
cobU,rca-sector,cobinamide-P guanylyltransferase / cobinamide kinase,,,,CP,,Coenzyme transport and metabolism,H,COG2087,yes
codA,u-sector,cytosine/isoguanine deaminase,,,,CP,,notdefined,FR,COG0402,no
codB,r-sector,CODB-MONOMER,,,,IM,transporter,Nucleotide transport and metabolism,F,COG1457,no
cof,rca-sector,HMP-PP phosphatase,,,,CP,,notdefined,HR,COG0561,no
comR,c-sector,DNA-binding transcriptional repressor ComR,,,,CP,,Transcription,K,COG1309,no
copA,a-sector,"soluble Cu<sup>+</sup> chaperone // ""Cu<sup>+</sup> exporting P-type ATPase""",,,,IM,transporter,Inorganic ion transport and metabolism,P,COG2217,no
corA,rca-sector,Ni<sup>2+</sup>/Co<sup>2+</sup>/Mg<sup>2+</sup> transporter,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG0598,no
cpdA,s-sector,cAMP phosphodiesterase,,,,CP,,Signal transduction mechanisms,T,COG1409,no
cpdB,s-sector,2'3' cyclic nucleotide phosphodiesterase/3' nucleotidase,,,,PE,other,notdefined,FV,COG0737,yes
cpoB,a-sector,cell division coordinator CpoB,,,,PE,other,General function prediction only,R,COG1729,no
cpsB,rca-sector,MANNPGUANYLTRANGDP-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG0662,no
cpsG,rca-sector,PHOSMANMUT-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG1109,no
cptA,a-sector,,,,,IM,other,notdefined,notdefined,,no
cpxA,a-sector,"sensory histidine kinase CpxA - phosphorylated // ""sensory histidine kinase CpxA""",,,,IM,other,Signal transduction mechanisms,T,COG2205,no
cpxP,a-sector,periplasmic protein CpxP,,,,PE,other,"Posttranslational modification, protein turnover, chaperones",O,COG3678,no
cpxR,a-sector,"Phosphorylated DNA-binding transcriptional dual regulator CpxR // ""DNA-binding transcriptional dual regulator CpxR""",,,,CP,,notdefined,TK,COG0745,no
cra,s-sector,DNA-binding transcriptional dual regulator Cra,,,,CP,,Transcription,K,COG1609,no
crcB,a-sector,F<sup>-</sup> channel,,,,IM,membrane protein,notdefined,DP,COG0239,no
creA,ra-sector,PF05981 family protein CreA,,,,PE,other,Signal transduction mechanisms,T,COG3045,no
creB,ra-sector,"Phosphorylated DNA-binding transcriptional regulator CreB // ""DNA-binding transcriptional regulator CreB""",,,,CP,,notdefined,TK,COG0745,no
creC,rca-sector,sensory histidine kinase CreC,,,,IM,other,Signal transduction mechanisms,T,COG2205,no
creD,rca-sector,putative inner membrane protein,,,,IM,membrane protein,Defense mechanisms,V,COG4452,yes
crfC,c-sector,clamp-binding sister replication fork colocalization protein,,,,CP,,"Replication, recombination and repair",L,COG0699,no
crl,s-sector,RNA polymerase holoenzyme assembly factor Crl,,,,CP,,notdefined,notdefined,,no
crp,s-sector,DNA-binding transcriptional dual regulator CRP,,,,CP,,Signal transduction mechanisms,T,COG0664,yes
crr,a-sector,Enzyme IIA<sup>Glc</sup>,,,,CP,,Carbohydrate transport and metabolism,G,COG2190,no
